dishname,Price,Spiciness,veg,short description
Paneer Butter Masala,320,Medium,Veg,Cubes of paneer in a rich tomato and cream gravy.
Dal Makhani,280,Low,Veg,Slow-cooked black lentils with butter and cream.
Mix Veg Curry,240,Medium,Veg,Seasonal vegetables cooked in a spicy onion gravy.
Palak Paneer,300,Low,Veg,Fresh spinach puree with paneer cubes and mild spices.
Aloo Gobi,220,Medium,Veg,Potatoes and cauliflower tossed with ginger and turmeric.
Malai Kofta,340,Low,Veg,Deep-fried potato and paneer balls in a creamy sauce.
Bhindi Masala,230,Medium,Veg,"Okra stir-fried with onions, tomatoes, and spices."
Chana Masala,210,High,Veg,Chickpeas cooked in a tangy and spicy tomato base.
Baingan Bharta,250,Medium,Veg,Smoky roasted eggplant mashed with herbs and spices.
Mushroom Do Pyaza,290,High,Veg,Mushrooms cooked with double the amount of onions.
Kadhai Paneer,310,High,Veg,Paneer with bell peppers cooked in a spicy kadhai gravy.
Jeera Aloo,180,Low,Veg,Cumin-tempered boiled potatoes with fresh coriander.
Veg Kolhapuri,270,High,Veg,Spicy Maharashtrian style mixed vegetable curry.
Methi Matar Malai,300,Low,Veg,Fenugreek leaves and green peas in a sweet creamy gravy.
Shahi Paneer,330,Low,Veg,Paneer in a royal white gravy made with cashew nuts.
