dishname,Price,Spiciness,nonveg,short description
Butter Chicken,380,Low,Non-Veg,Classic chicken in a creamy tomato-butter sauce.
Chicken Tikka Masala,360,Medium,Non-Veg,Grilled chicken chunks in a spicy orange gravy.
Mutton Rogan Josh,450,Medium,Non-Veg,Kashmiri style slow-cooked mutton with aromatic spices.
Chicken Biryani,320,High,Non-Veg,Fragrant basmati rice layered with spicy chicken.
Egg Curry,220,Medium,Non-Veg,Boiled eggs in a spicy onion-tomato masala.
Fish Curry,400,High,Non-Veg,Tangy coastal fish curry with coconut milk.
Mutton Keema,420,High,Non-Veg,Minced mutton cooked with peas and robust spices.
Chicken Kadhai,350,High,Non-Veg,Chicken pieces tossed with bell peppers and whole spices.
Lemon Chicken,340,Low,Non-Veg,Tender chicken cooked with a tangy lemon-garlic twist.
Prawns Masala,480,High,Non-Veg,Succulent prawns in a thick spicy coastal gravy.
Chicken Saagwala,350,Medium,Non-Veg,Chicken cooked in a smooth spinach puree.
Mutton Rara,460,High,Non-Veg,Mutton pieces and minced meat cooked together.
Chicken Do Pyaza,340,Medium,Non-Veg,Chicken cooked with caramelized and crunchy onions.
Fish Fry,380,Medium,Non-Veg,Crispy pan-fried fish coated in Indian spices.
Chicken Afghani,390,Low,Non-Veg,"Chicken marinated in yogurt and cream, mild flavor."
